id_producto,muestras,media,mediana
1,76.0,11.43421052631579,8.0
2,4.0,21.25,21.5
3,6.0,14.833333333333334,14.0
4,22.0,15.590909090909092,13.0
5,1.0,13.0,13.0
7,1.0,12.0,12.0
8,13.0,17.923076923076923,16.0
9,5.0,12.0,15.0
10,119.0,16.26890756302521,15.0
11,2.0,23.5,23.5
12,13.0,17.923076923076923,15.0
13,1.0,9.0,9.0
14,1.0,2.0,2.0
15,2.0,15.0,15.0
16,1.0,10.0,10.0
18,6.0,17.5,17.0
21,1.0,20.0,20.0
22,2.0,17.5,17.5
23,70.0,17.557142857142857,15.0
25,86.0,19.476744186046513,17.0
26,8.0,21.375,21.0
27,4.0,10.5,10.5
28,32.0,15.21875,13.5
29,10.0,14.0,12.5
30,10.0,14.4,13.5
31,6.0,22.0,19.5
32,26.0,15.153846153846153,11.5
33,1.0,10.0,10.0
34,243.0,17.94238683127572,16.0
35,16.0,17.75,13.5
36,15.0,15.266666666666667,14.0
37,37.0,15.405405405405405,13.0
38,2.0,17.5,17.5
40,5.0,19.0,14.0
41,3.0,14.666666666666666,9.0
42,1.0,18.0,18.0
43,3.0,9.0,7.0
44,11.0,16.181818181818183,15.0
45,625.0,17.3008,15.0
46,6.0,30.166666666666668,32.0
47,12.0,20.833333333333332,19.5
48,5.0,21.2,21.0
49,98.0,17.153061224489797,17.0
50,11.0,17.636363636363637,15.0
52,1.0,1.0,1.0
53,12.0,17.083333333333332,16.5
54,76.0,14.263157894736842,11.5
55,1.0,29.0,29.0
57,9.0,12.222222222222221,5.0
58,8.0,17.625,16.5
59,1.0,16.0,16.0
60,1.0,13.0,13.0
61,1.0,19.0,19.0
62,4.0,11.25,10.0
63,59.0,18.016949152542374,16.0
64,1.0,39.0,39.0
65,5.0,17.0,18.0
66,11.0,19.636363636363637,14.0
67,2.0,11.5,11.5
68,9.0,18.88888888888889,17.0
70,12.0,18.083333333333332,14.0
71,4.0,10.0,9.0
72,3.0,12.0,14.0
73,2.0,6.0,6.0
74,10.0,18.8,16.0
75,8.0,13.5,11.0
77,8.0,13.5,9.0
78,1.0,32.0,32.0
79,170.0,18.111764705882354,17.0
81,4.0,13.25,13.0
82,4.0,19.25,15.0
83,21.0,21.952380952380953,21.0
84,5.0,14.6,12.0
86,6.0,19.166666666666668,21.5
87,13.0,21.0,20.0
89,4.0,20.5,22.5
91,1.0,21.0,21.0
92,1.0,20.0,20.0
93,49.0,18.836734693877553,18.0
94,31.0,16.29032258064516,15.0
95,100.0,18.0,16.0
96,16.0,17.375,17.5
97,2.0,10.0,10.0
98,2.0,8.5,8.5
99,21.0,18.285714285714285,17.0
100,20.0,20.55,22.0
101,10.0,22.3,23.5
102,5.0,16.2,7.0
104,3.0,28.333333333333332,28.0
105,2.0,6.5,6.5
106,23.0,18.82608695652174,19.0
107,2.0,12.5,12.5
108,2.0,19.0,19.0
109,5.0,12.2,9.0
110,2.0,19.0,19.0
112,1.0,14.0,14.0
113,7.0,13.857142857142858,13.0
114,1.0,34.0,34.0
115,15.0,13.533333333333333,14.0
116,159.0,9.842767295597485,8.0
117,120.0,16.558333333333334,15.0
118,9.0,16.0,12.0
119,1.0,13.0,13.0
120,1.0,11.0,11.0
121,42.0,16.928571428571427,15.0
122,10.0,14.7,13.5
123,35.0,15.028571428571428,13.0
124,6.0,14.666666666666666,11.0
126,13.0,12.538461538461538,11.0
127,24.0,16.541666666666668,16.5
128,71.0,12.450704225352112,10.0
129,8.0,15.875,13.5
130,175.0,7.422857142857143,6.0
131,7.0,22.857142857142858,21.0
132,2.0,16.0,16.0
133,1.0,19.0,19.0
134,1.0,17.0,17.0
136,1.0,4.0,4.0
137,15.0,17.2,13.0
138,11.0,20.0,20.0
140,1.0,12.0,12.0
141,146.0,18.0,16.5
143,3.0,15.666666666666666,12.0
144,1.0,17.0,17.0
145,3.0,28.333333333333332,15.0
146,3.0,5.666666666666667,5.0
148,97.0,16.7319587628866,13.0
149,17.0,15.823529411764707,12.0
150,8.0,8.25,8.5
151,1.0,26.0,26.0
153,3.0,13.666666666666666,7.0
154,2.0,12.5,12.5
155,2.0,29.0,29.0
156,9.0,13.333333333333334,11.0
157,4.0,10.75,11.0
158,8.0,14.5,12.0
159,3.0,19.0,16.0
160,127.0,17.228346456692915,14.0
162,194.0,17.95876288659794,17.0
164,1.0,16.0,16.0
165,66.0,18.62121212121212,16.5
167,1.0,9.0,9.0
168,3.0,25.666666666666668,23.0
169,105.0,16.761904761904763,15.0
171,1.0,29.0,29.0
172,2.0,15.0,15.0
173,1.0,5.0,5.0
174,2.0,30.0,30.0
176,6.0,12.5,7.5
177,8.0,18.5,13.0
178,3.0,17.0,12.0
179,2.0,11.0,11.0
180,2.0,12.5,12.5
181,19.0,20.31578947368421,21.0
182,1.0,3.0,3.0
184,44.0,13.659090909090908,13.5
185,4.0,10.75,9.5
186,33.0,18.393939393939394,12.0
187,11.0,18.0,14.0
188,12.0,16.333333333333332,17.5
189,1.0,11.0,11.0
190,4.0,12.25,12.5
191,1.0,10.0,10.0
192,2.0,20.0,20.0
193,1.0,7.0,7.0
194,20.0,12.8,12.5
195,2.0,11.0,11.0
196,1507.0,7.570670205706702,5.0
197,1.0,17.0,17.0
198,4.0,24.75,27.5
199,11.0,23.727272727272727,19.0
200,3.0,9.666666666666666,7.0
202,1.0,9.0,9.0
203,2.0,18.0,18.0
204,177.0,18.423728813559322,16.0
205,6.0,12.666666666666666,10.0
206,13.0,21.846153846153847,19.0
207,27.0,16.037037037037038,13.0
208,2.0,16.0,16.0
209,8.0,16.75,18.0
210,161.0,16.677018633540374,15.0
211,11.0,14.363636363636363,14.0
212,9.0,20.444444444444443,20.0
213,3.0,18.0,13.0
214,2.0,6.5,6.5
215,17.0,14.941176470588236,13.0
216,22.0,22.272727272727273,19.0
217,16.0,18.3125,15.0
219,23.0,23.73913043478261,20.0
221,2.0,22.0,22.0
222,33.0,15.666666666666666,14.0
223,7.0,11.0,10.0
225,2.0,10.0,10.0
226,65.0,18.03076923076923,17.0
228,50.0,15.96,14.5
229,7.0,19.142857142857142,9.0
232,4.0,15.25,16.5
233,1.0,10.0,10.0
234,9.0,8.777777777777779,8.0
235,2.0,21.5,21.5
236,1.0,9.0,9.0
237,1.0,13.0,13.0
238,1.0,22.0,22.0
